layout_id,canonical_node_set,sensor_count,sensor_quality_condition,dropout_or_bias_condition,noise_or_bias_condition,selection_or_optimization_method,training_seed_or_run,evaluation_scope,classification,comparable_reference_layout,classification_reason
S1_inlet_only,0,1,nominal,none recorded,none recorded,fixed inlet placement,single saved balanced-mode run; seed not recorded in layout CSV,all final layout metrics; C/S corridor benchmark,eligible_unique_nominal_geometry,,unique nominal node geometry under the locked corridor protocol
S2_inlet_outlet,0;20,2,nominal,none recorded,none recorded,fixed inlet/outlet placement,single saved balanced-mode run; seed not recorded in layout CSV,all final layout metrics; C/S corridor benchmark,eligible_unique_nominal_geometry,,unique nominal node geometry under the locked corridor protocol
S3_inlet_middle_outlet,0;10;20,3,nominal,none recorded,none recorded,fixed inlet/middle/outlet placement,single saved balanced-mode run; seed not recorded in layout CSV,all final layout metrics; C/S corridor benchmark,eligible_unique_nominal_geometry,,unique nominal node geometry under the locked corridor protocol
S4_five_sensors,0;5;10;15;20,5,nominal,none recorded,none recorded,fixed five-sensor placement,single saved balanced-mode run; seed not recorded in layout CSV,all final layout metrics; C/S corridor benchmark,eligible_unique_nominal_geometry,,unique nominal node geometry under the locked corridor protocol
S5_noisy_inlet_outlet,0;20,2,sensor noise,none recorded,sensor noise,fixed inlet/outlet placement,single saved balanced-mode run; seed not recorded in layout CSV,all final layout metrics; C/S corridor benchmark,robustness_scenario,S2_inlet_outlet,"same node set retained for a condition/protocol comparison, not a distinct placement geometry"
S6_dropout_five_sensors,0;5;10;15;20,5,sensor dropout,sensor dropout,none recorded,fixed five-sensor placement,single saved balanced-mode run; seed not recorded in layout CSV,all final layout metrics; C/S corridor benchmark,robustness_scenario,S4_five_sensors,"same node set retained for a condition/protocol comparison, not a distinct placement geometry"
S7_xai4heat_substations,1;6;10;14;19,5,nominal,none recorded,none recorded,XAI4HEAT-style positional analogue on corridor,single saved balanced-mode run; seed not recorded in layout CSV,all final layout metrics; C/S corridor benchmark,eligible_unique_nominal_geometry,,unique nominal node geometry under the locked corridor protocol
S8_random_three_sensors,0;2;20,3,nominal,none recorded,none recorded,randomly selected unique three-node geometry,single saved balanced-mode run; seed not recorded in layout CSV,all final layout metrics; C/S corridor benchmark,eligible_unique_nominal_geometry,,unique nominal node geometry under the locked corridor protocol
S9_optimized_three_sensors,0;10;20,3,nominal,none recorded,none recorded,optimization-labelled duplicate geometry,single saved balanced-mode run; seed not recorded in layout CSV,all final layout metrics; C/S corridor benchmark,duplicate_geometry_excluded,S3_inlet_middle_outlet,"same node set retained for a condition/protocol comparison, not a distinct placement geometry"
S10_optimized_five_sensors,0;5;10;15;20,5,nominal,none recorded,none recorded,optimization-labelled duplicate geometry,single saved balanced-mode run; seed not recorded in layout CSV,all final layout metrics; C/S corridor benchmark,duplicate_geometry_excluded,S4_five_sensors,"same node set retained for a condition/protocol comparison, not a distinct placement geometry"
S11_middle_only,10,1,nominal,none recorded,none recorded,fixed middle placement,single saved balanced-mode run; seed not recorded in layout CSV,all final layout metrics; C/S corridor benchmark,eligible_unique_nominal_geometry,,unique nominal node geometry under the locked corridor protocol
S12_inlet_two_middle_outlet,0;7;14;20,4,nominal,none recorded,none recorded,fixed inlet/two-middle/outlet placement,single saved balanced-mode run; seed not recorded in layout CSV,all final layout metrics; C/S corridor benchmark,eligible_unique_nominal_geometry,,unique nominal node geometry under the locked corridor protocol
S13_noisy_inlet_only,0,1,sensor noise,none recorded,sensor noise,fixed inlet placement,single saved balanced-mode run; seed not recorded in layout CSV,all final layout metrics; C/S corridor benchmark,robustness_scenario,S1_inlet_only,"same node set retained for a condition/protocol comparison, not a distinct placement geometry"
S14_outlet_only,20,1,nominal,none recorded,none recorded,fixed outlet placement,single saved balanced-mode run; seed not recorded in layout CSV,all final layout metrics; C/S corridor benchmark,eligible_unique_nominal_geometry,,unique nominal node geometry under the locked corridor protocol
S15_noisy_inlet_outlet_5pct,0;20,2,5% sensor noise,none recorded,5% sensor noise,fixed inlet/outlet placement,single saved balanced-mode run; seed not recorded in layout CSV,all final layout metrics; C/S corridor benchmark,robustness_scenario,S2_inlet_outlet,"same node set retained for a condition/protocol comparison, not a distinct placement geometry"
S16_peak_dropout_five_sensors,0;5;10;15;20,5,peak-period sensor dropout,peak-period sensor dropout,none recorded,fixed five-sensor placement,single saved balanced-mode run; seed not recorded in layout CSV,all final layout metrics; C/S corridor benchmark,robustness_scenario,S4_five_sensors,"same node set retained for a condition/protocol comparison, not a distinct placement geometry"
S17_optimized_two_sensors,0;20,2,nominal,none recorded,none recorded,optimization-labelled duplicate geometry,single saved balanced-mode run; seed not recorded in layout CSV,all final layout metrics; C/S corridor benchmark,duplicate_geometry_excluded,S2_inlet_outlet,"same node set retained for a condition/protocol comparison, not a distinct placement geometry"
