figure_id,panel,source_file,columns_or_keys,transformations,assumptions,evidence_class,generation_status,output_files,notes
DenseArrayExport,paired true/pred arrays,results/dense_reconstruction_payloads.npz,"Ts_reference/Ts_prediction, Tr_reference/Tr_prediction, H_reference/H_prediction, q_reference/q_prediction",Arrays exported from prepare_context + evaluate_model(return_predictions=True); no raster or synthetic surface used.,Reference arrays are calibrated-simulator hidden states; predictions are saved-checkpoint reconstructions on the test loader.,calibrated_simulator + simulator_assisted_hidden_state,generated,results/dense_reconstruction_payloads.npz,Chosen reconstruction model for paired figure surfaces: Proposed PI-GNN-GRU-v3 balanced_mode
Fig01,normal-load profile,results/dense_reconstruction_payloads.npz,"Ts_reference, Ts_prediction at t=95",Profiles use paired reference/reconstruction arrays; errors computed as absolute difference.,Distance defaults to 0-20 km if no distance array with matching node count is stored.,simulator_assisted_hidden_state,generated,figures/main/fig01_supply_temperature_reconstruction.svg; figures/main/fig01_supply_temperature_reconstruction.pdf; figures/main/fig01_supply_temperature_reconstruction.png,
Fig01,high-demand profile,results/dense_reconstruction_payloads.npz,"Ts_reference, Ts_prediction at t=692",Profiles use paired reference/reconstruction arrays; errors computed as absolute difference.,Distance defaults to 0-20 km if no distance array with matching node count is stored.,simulator_assisted_hidden_state,generated,figures/main/fig01_supply_temperature_reconstruction.svg; figures/main/fig01_supply_temperature_reconstruction.pdf; figures/main/fig01_supply_temperature_reconstruction.png,
Fig01,3D absolute-error surface,results/dense_reconstruction_payloads.npz,E=abs(Ts_reference-Ts_prediction),Profiles use paired reference/reconstruction arrays; errors computed as absolute difference.,Distance defaults to 0-20 km if no distance array with matching node count is stored.,simulator_assisted_hidden_state,generated,figures/main/fig01_supply_temperature_reconstruction.svg; figures/main/fig01_supply_temperature_reconstruction.pdf; figures/main/fig01_supply_temperature_reconstruction.png,
Fig02,normal-load profile,results/dense_reconstruction_payloads.npz,"Tr_reference, Tr_prediction at t=95",Profiles use paired reference/reconstruction arrays; errors computed as absolute difference.,Distance defaults to 0-20 km if no distance array with matching node count is stored.,simulator_assisted_hidden_state,generated,figures/main/fig02_return_temperature_reconstruction.svg; figures/main/fig02_return_temperature_reconstruction.pdf; figures/main/fig02_return_temperature_reconstruction.png,
Fig02,high-demand profile,results/dense_reconstruction_payloads.npz,"Tr_reference, Tr_prediction at t=692",Profiles use paired reference/reconstruction arrays; errors computed as absolute difference.,Distance defaults to 0-20 km if no distance array with matching node count is stored.,simulator_assisted_hidden_state,generated,figures/main/fig02_return_temperature_reconstruction.svg; figures/main/fig02_return_temperature_reconstruction.pdf; figures/main/fig02_return_temperature_reconstruction.png,
Fig02,3D absolute-error surface,results/dense_reconstruction_payloads.npz,E=abs(Tr_reference-Tr_prediction),Profiles use paired reference/reconstruction arrays; errors computed as absolute difference.,Distance defaults to 0-20 km if no distance array with matching node count is stored.,simulator_assisted_hidden_state,generated,figures/main/fig02_return_temperature_reconstruction.svg; figures/main/fig02_return_temperature_reconstruction.pdf; figures/main/fig02_return_temperature_reconstruction.png,
Fig03,reference field,results/dense_reconstruction_payloads.npz,H_reference,Field panels use paired 2D arrays; reference and reconstruction share identical color scales.,Hydraulic quantities are simulator-assisted hidden states unless real dense hydraulic arrays are explicitly provided.,simulator_assisted_hidden_state,generated,figures/main/fig03_pressure_head_reference_reconstruction_error.svg; figures/main/fig03_pressure_head_reference_reconstruction_error.pdf; figures/main/fig03_pressure_head_reference_reconstruction_error.png,
Fig03,reconstructed field,results/dense_reconstruction_payloads.npz,H_prediction,Field panels use paired 2D arrays; reference and reconstruction share identical color scales.,Hydraulic quantities are simulator-assisted hidden states unless real dense hydraulic arrays are explicitly provided.,simulator_assisted_hidden_state,generated,figures/main/fig03_pressure_head_reference_reconstruction_error.svg; figures/main/fig03_pressure_head_reference_reconstruction_error.pdf; figures/main/fig03_pressure_head_reference_reconstruction_error.png,
Fig03,absolute-error field,results/dense_reconstruction_payloads.npz,E=abs(H_reference-H_prediction),Field panels use paired 2D arrays; reference and reconstruction share identical color scales.,Hydraulic quantities are simulator-assisted hidden states unless real dense hydraulic arrays are explicitly provided.,simulator_assisted_hidden_state,generated,figures/main/fig03_pressure_head_reference_reconstruction_error.svg; figures/main/fig03_pressure_head_reference_reconstruction_error.pdf; figures/main/fig03_pressure_head_reference_reconstruction_error.png,
