audit,status,value,threshold,evidence,state_type,note
alpha_uses_current_or_past_load_only,pass,0.0,1e-12,future perturbation invariance through prefix,calibrated_simulator,"This audit concerns proxy causality, not independent hydraulic field validation."
q_proxy_uses_lagged_return_only,pass,0.0,1e-12,future load/return perturbation invariance through prefix,calibrated_simulator,"This audit concerns proxy causality, not independent hydraulic field validation."
pump_proxy_scaling_uses_expanding_past_only_range,pass,0.0,1e-12,future perturbation invariance of the load-normalized pump proxy,calibrated_simulator,"This audit concerns proxy causality, not independent hydraulic field validation."
declared_proxy_mode_is_causal_lagged_return,pass,causal_lagged_return,causal_lagged_return,boundary metadata,calibrated_simulator,"This audit concerns proxy causality, not independent hydraulic field validation."
proxy_causality_version_recorded,pass,causal_proxy_v2_trailing_mean_running_range,causal_proxy_v2_trailing_mean_running_range,boundary metadata,calibrated_simulator,"This audit concerns proxy causality, not independent hydraulic field validation."
supply_temperature_state_uses_no_future_values,pass,0.0,1e-12,future supply/return/load/ambient perturbation invariance through prefix,calibrated_simulator,"This audit concerns proxy causality, not independent hydraulic field validation."
return_temperature_state_uses_no_future_values,pass,0.0,1e-12,future supply/return/load/ambient perturbation invariance through prefix,calibrated_simulator,"This audit concerns proxy causality, not independent hydraulic field validation."
head_state_uses_no_future_values,pass,0.0,1e-12,future supply/return/load/ambient perturbation invariance through prefix,calibrated_simulator,"This audit concerns proxy causality, not independent hydraulic field validation."
flow_state_uses_no_future_values,pass,0.0,1e-12,future supply/return/load/ambient perturbation invariance through prefix,calibrated_simulator,"This audit concerns proxy causality, not independent hydraulic field validation."
heat_loss_state_uses_no_future_values,pass,0.0,1e-12,future supply/return/load/ambient perturbation invariance through prefix,calibrated_simulator,"This audit concerns proxy causality, not independent hydraulic field validation."
delivered_heat_state_uses_no_future_values,pass,0.0,1e-12,future supply/return/load/ambient perturbation invariance through prefix,calibrated_simulator,"This audit concerns proxy causality, not independent hydraulic field validation."
full_state_causality_version_recorded,pass,full_state_causality_v1_segment_start_boundaries,full_state_causality_v1_segment_start_boundaries,audit implementation metadata,calibrated_simulator,"This audit concerns proxy causality, not independent hydraulic field validation."
